thick,alloy,E,mu,ang
0.022000000000000002, al_24st,10600,0.321,00
0.022000000000000002, al_24st,10600,0.32299999999999995,00
0.032, al_24st,10400,0.32899999999999996,00
0.032, al_24st,10300,0.319,00
0.064, al_24st,10500,0.32299999999999995,00
0.064, al_24st,10700,0.32799999999999996,00
0.081, al_24st,10000,0.315,00
0.081, al_24st,10100,0.312,00
0.081, al_24st,10000,0.311,00
0.022000000000000002, al_24st,10700,0.321,45
0.022000000000000002, al_24st,10500,0.32299999999999995,45
0.032, al_24st,10400,0.32899999999999996,45
0.032, al_24st,10500,0.319,45
0.064, al_24st,10400,0.32299999999999995,45
0.064, al_24st,10500,0.32799999999999996,45
0.081, al_24st,10000,0.315,45
0.081, al_24st,9900,0.312,45
0.022000000000000002, al_24st,10500,0.321,90
0.022000000000000002, al_24st,10700,0.32299999999999995,90
0.032, al_24st,10300,0.32899999999999996,90
0.032, al_24st,10400,0.319,90
0.064, al_24st,10400,0.32299999999999995,90
0.064, al_24st,10500,0.32799999999999996,90
0.081, al_24st,9900,0.315,90
0.081, al_24st,10000,0.312,90
0.081, al_24st,9900,0.311,90
0.022000000000000002, al_24st,10600,0.32899999999999996,00
0.022000000000000002, al_24st,10600,0.331,00
0.032, al_24st,10400,0.318,00
0.032, al_24st,10300,0.326,00
0.064, al_24st,10500,0.331,00
0.064, al_24st,10700,0.32799999999999996,00
0.081, al_24st,10000,0.32,00
0.081, al_24st,10100,0.312,00
0.022000000000000002, al_24st,10700,0.32899999999999996,45
0.022000000000000002, al_24st,10500,0.331,45
0.032, al_24st,10400,0.318,45
0.032, al_24st,10500,0.326,45
0.064, al_24st,10400,0.331,45
0.064, al_24st,10500,0.32799999999999996,45
0.081, al_24st,10000,0.32,45
0.081, al_24st,9900,0.312,45
0.022000000000000002, al_24st,10500,0.32899999999999996,90
0.022000000000000002, al_24st,10700,0.331,90
0.032, al_24st,10300,0.318,90
0.032, al_24st,10400,0.326,90
0.064, al_24st,10400,0.331,90
0.064, al_24st,10500,0.32799999999999996,90
0.081, al_24st,9900,0.32,90
0.081, al_24st,10000,0.312,90
0.022000000000000002, al_24st,10600,0.31,00
0.022000000000000002, al_24st,10600,0.32299999999999995,00
0.032, al_24st,10400,0.322,00
0.032, al_24st,10300,0.33,00
0.064, al_24st,10500,0.327,00
0.064, al_24st,10700,0.32,00
0.081, al_24st,10000,0.314,00
0.081, al_24st,10100,0.316,00
0.081, al_24st,10000,0.314,00
0.022000000000000002, al_24st,10700,0.31,45
0.022000000000000002, al_24st,10500,0.32299999999999995,45
0.032, al_24st,10400,0.322,45
0.032, al_24st,10500,0.33,45
0.064, al_24st,10400,0.327,45
0.064, al_24st,10500,0.32,45
0.081, al_24st,10000,0.314,45
0.081, al_24st,9900,0.316,45
0.022000000000000002, al_24st,10500,0.31,90
0.022000000000000002, al_24st,10700,0.32299999999999995,90
0.032, al_24st,10300,0.322,90
0.032, al_24st,10400,0.33,90
0.064, al_24st,10400,0.327,90
0.064, al_24st,10500,0.32,90
0.081, al_24st,9900,0.314,90
0.081, al_24st,10000,0.316,90
0.081, al_24st,9900,0.314,90
