t,x,y
0.0,0.5,0.1
0.1,2.1,3.0
0.2,4.0,5.5
0.3,5.5,8.1
0.4,7.1,10.3
0.5,9.3,12.1
0.6,10.8,13.9
0.7,12.2,15.9
0.8,13.9,17.6
0.9,15.8,18.6
1.0,16.8,20.0
1.1,17.7,20.5
1.2,19.3,21.7
1.3,20.5,22.5
1.4,21.8,23.1
1.5,22.8,23.7
1.6,23.6,24.0
1.7,24.5,24.5
1.8,25.6,25.0
1.9,26.5,25.2
2.0,27.1,24.9
2.1,27.8,24.8
2.2,28.9,24.6
2.3,29.4,24.5
2.4,30.5,23.8
2.5,30.5,23.4
2.6,31.3,22.8
2.7,31.9,22.3
2.8,32.2,21.6
2.9,32.7,20.4
3.0,33.5,19.5
3.1,33.8,17.7
3.2,34.5,16.4
3.3,34.9,14.8
3.4,35.2,12.4
3.5,35.9,10.3
3.6,36.0,8.3
3.7,37.0,5.0
3.8,37.4,2.8
